"time","Mass.s","Mass.v","der(Mass.s)","der(Mass.v)","Mass.a","Mass.flange_a.s","Mass.flange_b.f","Mass.flange_b.s","Spring.f","Spring.s_rel","Fixed.flange.f","Mass.flange_a.f","Spring.flange_a.f","Spring.flange_b.f","Spring.flange_b.s"
0,0,2,2,0.5,0.5,-1,0,1,-1,-1,-1,1,1,-1,-1
0.002,0.004000998284726155,2.000997999570292,2.000997999570292,0.4979995008576369,0.4979995008576369,-0.9959990017152739,0,1.004000998284726,-0.9959990017152739,-0.9959990017152739,-0.9959990017152739,0.9959990017152739,0.9959990017152739,-0.9959990017152739,-0.9959990017152739
0.004,0.00800398627044681,2.001991996578917,2.001991996578917,0.4959980068647766,0.4959980068647766,-0.9919960137295531,0,1.008003986270447,-0.9919960137295531,-0.9919960137295531,-0.9919960137295531,0.9919960137295531,0.9919960137295531,-0.9919960137295531,-0.9919960137295531
0.006,0.01200895626136223,2.002981989119901,2.002981989119901,0.4939955218693189,0.4939955218693189,-0.9879910437386378,0,1.012008956261362,-0.9879910437386378,-0.9879910437386378,-0.9879910437386378,0.9879910437386378,0.9879910437386378,-0.9879910437386378,-0.9879910437386378
0.008,0.01601589011432643,2.003967972738223,2.003967972738223,0.4919920549428368,0.4919920549428368,-0.9839841098856735,0,1.016015890114326,-0.9839841098856735,-0.9839841098856735,-0.9839841098856735,0.9839841098856735,0.9839841098856735,-0.9839841098856735,-0.9839841098856735
0.01,0.02002479180129492,2.004949948409431,2.004949948409431,0.4899876040993525,0.4899876040993525,-0.9799752081987051,0,1.020024791801295,-0.9799752081987051,-0.9799752081987051,-0.9799752081987051,0.9799752081987051,0.9799752081987051,-0.9799752081987051,-0.9799752081987051
0.012,0.02403564989623073,2.005927913377302,2.005927913377302,0.4879821750518846,0.4879821750518846,-0.9759643501037693,0,1.024035649896231,-0.9759643501037693,-0.9759643501037693,-0.9759643501037693,0.9759643501037693,0.9759643501037693,-0.9759643501037693,-0.9759643501037693
0.014,0.02804841724763895,2.006901856267813,2.006901856267813,0.4859757913761805,0.4859757913761805,-0.971951582752361,0,1.028048417247639,-0.971951582752361,-0.971951582752361,-0.971951582752361,0.971951582752361,0.971951582752361,-0.971951582752361,-0.971951582752361
0.016,0.03206312018402657,2.007871783432003,2.007871783432003,0.4839684399079867,0.4839684399079867,-0.9679368798159734,0,1.032063120184027,-0.9679368798159734,-0.9679368798159734,-0.9679368798159734,0.9679368798159734,0.9679368798159734,-0.9679368798159734,-0.9679368798159734
0.018,0.0360797587053936,2.008837694869873,2.008837694869873,0.4819601206473032,0.4819601206473032,-0.9639202412946064,0,1.036079758705394,-0.9639202412946064,-0.9639202412946064,-0.9639202412946064,0.9639202412946064,0.9639202412946064,-0.9639202412946064,-0.9639202412946064
0.02,0.04009833281174004,2.009799590581423,2.009799590581423,0.47995083359413,0.47995083359413,-0.95990166718826,0,1.04009833281174,-0.95990166718826,-0.95990166718826,-0.95990166718826,0.95990166718826,0.95990166718826,-0.95990166718826,-0.95990166718826
0.022,0.04411884250306587,2.010757470566654,2.010757470566654,0.4779405787484671,0.4779405787484671,-0.9558811574969341,0,1.044118842503066,-0.9558811574969341,-0.9558811574969341,-0.9558811574969341,0.9558811574969341,0.9558811574969341,-0.9558811574969341,-0.9558811574969341
0.024,0.04814124296187396,2.011711324212305,2.011711324212305,0.475929378519063,0.475929378519063,-0.9518587570381261,0,1.048141242961874,-0.9518587570381261,-0.9518587570381261,-0.9518587570381261,0.9518587570381261,0.9518587570381261,-0.9518587570381261,-0.9518587570381261
0.026,0.05216550229892681,2.012661143966667,2.012661143966667,0.4739172488505366,0.4739172488505366,-0.9478344977010732,0,1.052165502298927,-0.9478344977010732,-0.9478344977010732,-0.9478344977010732,0.9478344977010732,0.9478344977010732,-0.9478344977010732,-0.9478344977010732
